year,session_name,session_path,session_type,people_min,people_max,confidence,evidence,notes
2023,2023.11.08 다산중학교,j:\공유 드라이브\2023 사진 영상\2023 다산중학교\2023.11.08 다산중학교,GROUP,20,35,B,Direct count of students in warm-up session and 4 rowing machines used in rotation,
2023,2023.11.01 다산중학교,j:\공유 드라이브\2023 사진 영상\2023 다산중학교\2023.11.01 다산중학교,SMALL,12,24,A,direct_count_of_approx_12_students_and_4_rowing_machines,
2023,2023.09.20 다산중학교,j:\공유 드라이브\2023 사진 영상\2023 다산중학교\2023.09.20 다산중학교,GROUP,35,45,A,direct_counting_from_group_view,
2023,2023.11.29 다산중학교,j:\공유 드라이브\2023 사진 영상\2023 다산중학교\2023.11.29 다산중학교,SMALL,3,9,B,3 rowing machines visible with 1-3 rotations estimated per machine,
2023,2023.09.06 다산중학교,j:\공유 드라이브\2023 사진 영상\2023 다산중학교\2023.09.06 다산중학교,GROUP,45,55,A,Direct count of students in group seating photos approximately 50 people,
2023,2023.11.19 아마추어로잉 (미사리),j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.11.19 아마추어로잉 (미사리),SMALL,4,12,B,Directly counted 4 people in a single boat (Coxed Four) with 1-3 possible rotation cycles.,
2023,2023.11.19 세인트폴 (미사리),j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.11.19 세인트폴 (미사리),GROUP,12,24,A,direct_counting_of_people_in_three_4-person_boats,
2023,2023.11.11 카일룸프렙 (미사리),j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.11.11 카일룸프렙 (미사리),SMALL,4,8,B,Direct count of 4 people on a single quad scull boat,
2023,2023.11.05 세인트폴(미사리),j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.11.05 세인트폴(미사리),SMALL,5,12,B,5 people visible in one rowing shell and 3 people in indoor gym,
2023,2023.11.04 카일룸프렙 (미사리),j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.11.04 카일룸프렙 (미사리),SMALL,4,8,B,two_separate_pairs_visible_in_scull_boats,
2023,"2023.11.04 성욱,현준 더블스컬 (미사리)","j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.11.04 성욱,현준 더블스컬 (미사리)",SMALL,2,2,A,two_people_in_double_scull_as_titled,
2023,2023.06.11 (미사리) (1),j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.06.11 (미사리) (1),SMALL,5,10,B,Direct count of 5 people in rowing boat across multiple photos,
2023,2023.05.13 요환 (충주),j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.05.13 요환 (충주),SMALL,1,5,C,only_one_individual_in_single_scull_visible,
2023,2023.08.05 충주대회,,,,,,,excluded
2023,2023.07.27 대한조정협회장배 전국생활체육조정대회,,,,,,,excluded
2023,2023.07.15 제 2회 하남시조정협회장배 조정대회,,,,,,,excluded
2023,2023.05 충주 탄금호배 전국조정대회,,,,,,,excluded
2023,2023.09.24 하음 (미사리),j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.09.24 하음 (미사리),SMALL,2,8,C,two_people_in_single_boat,
2023,2023.09.17 아마추어로잉 (미사리),j:\공유 드라이브\2023 사진 영상\2023 훈련\2023.09.17 아마추어로잉 (미사리),SMALL,5,12,B,5 people visible on a single rowing shell,
