year,session_name,session_path,session_type,people_min,people_max,confidence,evidence,notes
2024,2024.01.07 박세안 (유니콘),j:\공유 드라이브\2024 사진 영상\2024.01.07 박세안 (유니콘),,,,,,"no_supported_images_found: .heic:4, .mov:1"
2024,2024.01.14 세안 민석 예상 상휘 (유니콘),j:\공유 드라이브\2024 사진 영상\2024.01.14 세안 민석 예상 상휘 (유니콘),SMALL,4,4,A,"Direct count from text description listing four specific names: Sean, Min-seok, Ye-sang, Sang-hwi",
2024,2024.01.21 대원 민석 예상 상휘 유신 세안 (유니콘),j:\공유 드라이브\2024 사진 영상\2024.01.21 대원 민석 예상 상휘 유신 세안 (유니콘),,,,,,"no_supported_images_found: .heic:12, .mov:2"
2024,2024.01.28 대원 예상 상휘 준혁 민석 (유니콘),j:\공유 드라이브\2024 사진 영상\2024.01.28 대원 예상 상휘 준혁 민석 (유니콘),,,,,,no_supported_images_found: no_files
2024,2024.02.04 세안 준혁 상휘 1K 5set(유니콘),j:\공유 드라이브\2024 사진 영상\2024.02.04 세안 준혁 상휘 1K 5set(유니콘),,,,,,"no_supported_images_found: .heic:9, .mov:1"
2024,2024.02.11 대원 민석 1K(유니콘),j:\공유 드라이브\2024 사진 영상\2024.02.11 대원 민석 1K(유니콘),,,,,,no_supported_images_found: no_files
2024,2024.02.18 예상 상휘 민석 준혁 (유니콘),j:\공유 드라이브\2024 사진 영상\2024.02.18 예상 상휘 민석 준혁 (유니콘),,,,,,no_supported_images_found: no_files
2024,2024.02.25 승헌 예상 상휘 세안 대원 민석 유신,j:\공유 드라이브\2024 사진 영상\2024.02.25 승헌 예상 상휘 세안 대원 민석 유신,,,,,,no_supported_images_found: no_files
2024,2024.07.21 제6회 대한조정협회장배 전국생활체육조정대회,,,,,,,excluded
2024,2024.08.04 제10회 충주 탄금호배 전국생활체육대회,,,,,,,excluded
2024,2024.08.17 하남시조정협회 수상안전 응급처치교육,j:\공유 드라이브\2024 사진 영상\2024.08.17 하남시조정협회 수상안전 응급처치교육,SMALL,10,13,A,"Direct count of 7 trainees, 1 instructor, and 2-5 staff/officials in the training room",
2024,2024.09.05 ABL생명 (미사리),j:\공유 드라이브\2024 사진 영상\2024.09.05 ABL생명 (미사리),GROUP,30,50,B,"Directly counted approximately 25-30 seated attendees in multiple rows, including those near rowing machines and headquarters.",
