year,session_name,session_path,session_type,people_min,people_max,confidence,evidence,notes
2013,2013.04.04 메트라이프 천안행사,j:\공유 드라이브\2013 사진 영상\2013.04.04 메트라이프 천안행사,GROUP,40,60,A,direct_counting_from_seating_shot_and_multiple_teams,
2013,2013.07.03 메디포스트.윤원일,j:\공유 드라이브\2013 사진 영상\2013.07.03 메디포스트.윤원일,GROUP,30,50,A,direct_counting_from_gathering_shot,
2013,2013.07.20 동국대.인제백담사만해마을.윤원일,j:\공유 드라이브\2013 사진 영상\2013.07.20 동국대.인제백담사만해마을.윤원일,GROUP,40,60,B,"Multiple color-coded teams (yellow, orange, blue, green, black) visible with at least 8-10 people per group based on vest numbering.",
2013,2013.07.26 현대아산아카데미.미사리.백경훈,j:\공유 드라이브\2013 사진 영상\2013.07.26 현대아산아카데미.미사리.백경훈,,,,,,no_images_found
2013,2013.07.29 조말론.미사리.백경훈,j:\공유 드라이브\2013 사진 영상\2013.07.29 조말론.미사리.백경훈,,,,,,no_images_found
2013,2013.07.31 전체회식.태릉갈비집,j:\공유 드라이브\2013 사진 영상\2013.07.31 전체회식.태릉갈비집,GROUP,12,20,B,multiple_tables_with_at_least_10_unique_people_visible_in_restaurant,
2013,2013.08.02 서울시장애인체육회.미사리,j:\공유 드라이브\2013 사진 영상\2013.08.02 서울시장애인체육회.미사리,GROUP,15,25,B,Direct count of approximately 16-18 individuals visible in a single frame across two rowing machines,
2013,2013.08.22 흥국배구단.양평미리내.윤종성(녹취_백),j:\공유 드라이브\2013 사진 영상\2013.08.22 흥국배구단.양평미리내.윤종성(녹취_백),,,,,,no_images_found
2013,2013.09.11 지오캐치야유회.춘천,j:\공유 드라이브\2013 사진 영상\2013.09.11 지오캐치야유회.춘천,,,,,,no_images_found
2013,2013.10.10 (주)동서.일산동양인재개발원.윤종성,j:\공유 드라이브\2013 사진 영상\2013.10.10 (주)동서.일산동양인재개발원.윤종성,GROUP,24,45,B,"3 colors of vests (green, yellow, red) visible in training room",
2013,2013.06.28 한국외대 훈련,j:\공유 드라이브\2013 사진 영상\2013.06.28 한국외대 훈련,GROUP,12,20,B,Direct count of visible participants and multiple rowing boats (8+ individuals per frame),
